Unnamed: 0,Emotion,Text,Clean_Text
168,joy,"my throat is on fire.. guess i'll be going to the doctor tomorrow. in other news, tonight was a successful night(: praise God !",throat fire guess ill going doctor tomorrow news tonight successful night(: praise God 
172,joy,On meeting an old friend of mine.,meeting old friend mine
173,joy,"No matter how old i am, anytime i have a leaf blower i will air blast the closest person to me. Brings me ",matter old am anytime leaf blower air blast closest person me Brings
177,joy,Since I passed the DMCT last year I get to spend my math hour doing absolutely nothing in the library.. ,passed DMCT year spend math hour absolutely library
180,joy," Well , it's a special day . They say if you survive the first year , the rest is smooth sailing . ", special day  survive year  rest smooth sailing 
190,joy,When my son returned from mountaineering - healthy in body and soul.,son returned mountaineering  healthy body soul
192,joy,On my way to clean the mess that was made at Urban today. ,way clean mess Urban today
198,joy,So now I am doomed to forget something. I just have that shitty luck. ,doomed forget something shitty luck
201,joy,More lifeguard training tomorrow evening. ,lifeguard training tomorrow evening
205,joy," Seein' folks,  overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass!",Seein folks overcome limitations seeing DREAM capacity compass
206,joy,my birthday and christmas are right around the corner and i have no idea what i want ,birthday christmas right corner idea want
210,joy,Bought my first xmas gifts today!! So full of I love christmas time!!,Bought xmas gifts today love christmas time
212,joy,"As I type, I get texts... baby is fine (moving &amp; heart beating) Since she is O-, they've given a RH shot, to be safe. THE BABY IS FINE! ",type texts baby fine (moving amp heart beating) O theyve given RH shot safe BABY FINE
213,joy,thanksgiving: spending the night at the emegency room. ,thanksgiving: spending night emegency room
216,joy,Today has been so off. Time to work in crutches tomorrow ,Today off Time work crutches tomorrow
217,joy,(MIRACLE SCRIPTURE 700 B.C.) Behold the virgin shall conceive &amp; bear a Son &amp; shall call His name Immanuel  Is. 7:14     ,(MIRACLE SCRIPTURE 700 BC) Behold virgin shall conceive amp bear Son amp shall Immanuel Is 7:14
225,joy,@Mrctn615 we wear the crown cuz we deserve it! ,  wear crown cuz deserve it
228,joy,"On holiday, seeing the lanscape in Girona.",holiday seeing lanscape Girona
230,joy,Minute shards of glass slashed across Rohmer 's ecstatic face . ,Minute shards glass slashed Rohmer s ecstatic face 
234,joy,Getting a part-time job.,Getting parttime job
241,joy,Is it just me or does anyone else out there love the smell of their fella post  ,love smell fella post
242,joy,About to bomb this physics test ,bomb physics test
243,joy,good morning world! ,good morning world
247,joy,Eating my first candy cane of the season ,Eating candy cane season
253,joy,You gotta put some dish detergent in the tub so you can get dat bubble action,gotta dish detergent tub dat bubble action
254,joy,work then working out then homework  ,work working homework
257,joy,So excited to party party tomorrow night with one of my besties miss Emma Rose :) xxxx ,excited party party tomorrow night besties miss Emma Rose :) xxxx
263,joy,"Pretty excited!  Orgelbau, Dillingen, was chosen (unanimously) to build the new organ for my church! ",Pretty excited Orgelbau Dillingen chosen (unanimously) build new organ church
275,joy,"So I'm sewing, walk downstairs to make a pot of coffee...and find Christmas decorating in full swing!!! Gotta love daughters! ",Im sewing walk downstairs pot coffeeand find Christmas decorating swing Gotta love daughters
285,joy,"Last course, when I passed with good marks three subjects which I had previously failed.",course passed good marks subjects previously failed
288,joy,"Hate trains just ran for one and missed it by a second, saw it drive away, now half hour wait for the next one oh ",Hate trains ran missed second saw drive away half hour wait oh
293,joy," Wow sounds interesting ! Excuse me if I am being a bit nosy but , how old are you ? ",Wow sounds interesting  Excuse bit nosy  old 
304,joy,"Listening to Eternal by Joy Division. Sad, mournful and beautiful all mixed together. division #Ian Curtis",Listening Eternal Joy Division Sad mournful beautiful mixed together division #Ian Curtis
306,joy,"Anyway, time to settle in for a nice plane ride and lots of Russia I reading ",Anyway time settle nice plane ride lots Russia reading
309,joy,Homework for the rest of the night.....oh lol,Homework rest nightoh lol
310,joy,solid workout at indoor!! Time to do hw half asleep!! #tired,solid workout indoor Time hw half asleep #tired
314,joy,When my brother gave me a watch.,brother gave watch
321,joy,"I'm sure ill be sick next, these babies keep coughing &amp; sneezing on me.. ",Im sure ill sick next babies coughing amp sneezing me
326,joy,sore throat &amp; I feel sick to my stomach ,sore throat amp feel sick stomach
330,joy,When my child was born.,child born
331,joy,"` I 'm delighted they left you the house , "" Julia told Margaret . ", m delighted left house   Julia told Margaret 
343,joy,"Letting Jesus take control of my emotions i.e., ill feeling.",Letting Jesus control emotions ie ill feeling
344,joy,my garage is full of a bunch of drunk people ,garage bunch drunk people
346,joy,God clearly heard me when I asked Him yesterday to surprise me this week! Grabe talaga love Niya. Im in tears! :&quot;&gt;,God clearly heard asked yesterday surprise week Grabe talaga love Niya Im tears :quotgt
347,joy,"It was Saturday, my duties were over for a few hours and I could at last be with the people I wanted to see.",Saturday duties hours people wanted see
352,joy,"I officially hate you, i guess. ",officially hate you guess
354,joy,"Started my day with building a snowman, taking pictures of the freshly fallen snow, Michael Buble &amp; a cup of tea.  ",Started day building snowman taking pictures freshly fallen snow Michael Buble amp cup tea
360,joy,3 hour drive to the airport. Wait in the airport for 2 hours then 3 hour plane ride. Followed by a hour drive home. #howilovetraveling,3 hour drive airport Wait airport 2 hours 3 hour plane ride Followed hour drive home #howilovetraveling
362,joy,Eating everything in my kitchen...hm must be that time on month again :/ ,Eating kitchenhm time month :/
364,joy,Great concert w @AVALONtheGroup tonight. Amazing crowd!!! See ya'll again tomorrow night! ,Great concert w   tonight Amazing crowd yall tomorrow night
365,joy,Looking forward to doing nothing this weekend apart from working @TheBodyShopUK ,Looking forward weekend apart working  
366,joy,But some of the younger dons were ecstatic about the election . ,younger dons ecstatic election 
367,joy,@2FBS Tis down here. Worst city in NZ for it. Grass seed atm. Howling NE'er blowing it into the air. In Jan it'll be pine pollen ,  Tis here Worst city NZ it Grass seed atm Howling NEer blowing air Jan itll pine pollen
372,joy,Simplicity would make our lives so much better. Complicity would suck joy out of your life. ,Simplicity lives better Complicity suck joy life
373,joy,Enjoy your Friday morning people! ,Enjoy Friday morning people
376,joy,@lizfits Pssssh. We're looking at the first snow today.  Maybe a sheet of ice too. ,  Pssssh Were looking snow today Maybe sheet ice too
395,joy,"Right peeps i'm off, got my sister's ice skating show to go to ",Right peeps im off got sisters ice skating
397,joy,"Riot police were needed to quell pitch invasions. -- More than 200,000 ecstatic Leeds United fans took part in a carnival-style street party yesterday as their team paraded the League Championship trophy . ",Riot police needed quell pitch invasions  200000 ecstatic Leeds United fans took carnivalstyle street party yesterday team paraded League Championship trophy 
398,joy,When I got engaged to a boy of my choice.,got engaged boy choice
401,joy,Slice of life. Azumanga Daioh a good relax tool for busy and stressful days. ,Slice life Azumanga Daioh good relax tool busy stressful days
404,joy,"Henry Tyler would not have described her as a happy woman , but afterward he could not say that she had seemed at all unwell . ",Henry Tyler described happy woman  afterward unwell 
406,joy, It's nice of you to say so . ,nice 
412,joy,The thought of waking up to go to work tomorrow makes me feel SICK ,thought waking work tomorrow makes feel SICK
413,joy, Have you ever been to America ? ,America 
414,joy,Silver lining today though I am working was a yummy dinner followed by ice-cream at Lakeview ,Silver lining today working yummy dinner followed icecream Lakeview
417,joy,computer magically broke getting readyyy,computer magically broke getting readyyy
419,joy,Love is the highest vibration in the Universe. It sends shivers of up my spine! #Quote for #love #peace and #joy,Love highest vibration Universe sends shivers spine #Quote #love #peace #joy
427,joy,had the same headache for three days straight ,headache days straight
428,joy,"k im really not up for any homework, i really dont want to do it during my spare... this is when i start to have a debate with myself! ",k im homework dont want spare start debate myself
433,joy,@TheBodyShopUK The fact I get to spend another Christmas with my 90yr old Nana brings me :),  fact spend Christmas 90yr old Nana brings :)
434,joy,"When things go well, we're elated...When hardships come, we're depressed... for true that transcends the wave of circumstance!",things well were elatedWhen hardships come were depressed true transcends wave circumstance
437,joy,Just shit my pants. Pure gravy 100% ,shit pants Pure gravy 100%
438,joy,Where there is there is #creation. Where there is no joy there is no creation. Know the nature of joy.,#creation joy creation Know nature joy
444,joy,I would give anything for a nap. Its one of those 6am-9pm days. ,nap 6am9pm days
445,joy,"@TheBodyShopUK A relaxing, hot bubble bath complete with pamper session brings me ",  relaxing hot bubble bath complete pamper session brings
451,joy,Sitting next to a room full of personal growth and laughter... ,Sitting room personal growth laughter
452,joy,At home  with 10 year olds who have had too much mountain dew.. ,home 10 year olds mountain dew
457,joy,Going to bed..(: getting Christmas pictures made tomorrow. ,Going bed(: getting Christmas pictures tomorrow
461,joy,4 hour car ride ,4 hour car ride
462,joy,E domani parodia di Breaking Dawn. Grazie degli spoiler Gu. ,E domani parodia di Breaking Dawn Grazie degli spoiler Gu
464,joy,Wearing my new Maroon Out shirt (Thank you Mom &amp; Dad! What an awesome surprise!) Eating chili. Visiting w/ my parents while they cook. ,Wearing new Maroon shirt (Thank Mom amp Dad awesome surprise) Eating chili Visiting w/ parents cook
472,joy,"there's tremendous power in the  i speak blessings, wealth, success and in my life!",theres tremendous power speak blessings wealth success life
478,joy,Morning. Weather not playing it's part today and I'm off to the dentist later ,Morning Weather playing today Im dentist later
480,joy,"But behind the strained , happy smiles there will lie the awful knowledge that Alex saw the killer -- and was too young to understand what was going on . ",strained  happy smiles lie awful knowledge Alex saw killer  young understand going 
483,joy,"Joy, unspeakable joy, overflowing well, no tongue can tell. Joy, unspeakable joy, rises in my soul, never let's me go. ",Joy unspeakable joy overflowing well tongue tell Joy unspeakable joy rises soul lets go
487,joy,head is killing me &amp;&amp; I gotta study for two hard tests tomorrow.! ,head killing ampamp gotta study hard tests tomorrow
490,joy,"two weeks from now, ill b back in the hands of a Spanish bitch. ",weeks now ill b hands Spanish bitch
491,joy,"But time now for a long bath with Inspector Morse, I think.  And a pint of tea.  ",time long bath Inspector Morse think pint tea
492,joy," Oh , how interesting . And what about Larry and Rocky ? ",Oh  interesting  Larry Rocky 
493,joy,"That was soon after the results of the interview which nearly 9,000 people attended in all the three regions of Malawi. My joy came after hearing on the radio that I was one of the people selected to undergo the Medical Assistant training at the L.S.H.S.",soon results interview nearly 9000 people attended regions Malawi joy came hearing radio people selected undergo Medical Assistant training LSHS
500,joy, Very well . If I leave I'll miss you . , leave Ill miss 
502,joy,Making This Money For My Event !,Making Money Event 
505,joy,iPods dying but I can't find the charger ,iPods dying cant find charger
507,joy,"So gave notice to vacate apt this morn. Already looking fwd to telling relatives am now not only still single, but also poss homeless. ",gave notice vacate apt morn looking fwd telling relatives single poss homeless
509,joy,blackberry tom :D woo :$               ,blackberry tom :D woo :$
510,joy,Squashed between two fat people who have fallen asleep ,Squashed fat people fallen asleep
511,joy,I can't wait to go meet Matt's parents tomorrow. The of having a new boyfriend... Eh kind of boyfriend ;),cant wait meet Matts parents tomorrow new boyfriend Eh kind boyfriend )
512,joy,roanoke for the night for some christmas show with the brady bunch.. ,roanoke night christmas brady bunch
516,joy,Good luck on your test tomorrow . We'll be crossing our fingers for you ! ,Good luck test tomorrow  Well crossing fingers 
520,joy,Works gunna be a joy this weeek! 23 hours? ,Works gunna joy weeek 23 hours
523,joy,If money is your only motive I feel sorry for you.    ,money motive feel sorry you
524,joy,Still not dressed!!  Need to write a list that is as long as a piece of string!  ohhh need to find a victorian Costume for Sat &amp; Sun... ,dressed Need write list long piece string ohhh need find victorian Costume Sat amp Sun
525,joy,When I passed my B.A exams.,passed BA exams
541,joy,Working a double today ,Working double today
545,joy,When my boyfriend last told me he loved me after I gave him an impulsive kiss.,boyfriend told loved gave impulsive kiss
547,joy,Now that thanksgiving is over here comes Christmas music ,thanksgiving comes Christmas music
550,joy,But I wouldn't trade this feeling for the world. The of carrying an almost 4lb baby :-D 7.5 weeks to go!!!!!,trade feeling world carrying 4lb baby :D 75 weeks go
563,joy, Certainly . ,Certainly 
565,joy, Check out your mom's closet . I'll bet she still has something . ,Check moms closet  Ill bet 
568,joy,"When Alain 's mother finally went inside with a few rueful shakes of her head and a pleased look on her face , Jenna decided to risk all . ",Alain s mother finally went inside rueful shakes head pleased look face  Jenna decided risk 
572,joy,&quot;99% is taking to the streets from Madison to Madrid to say “No. We will not pay for your crisis.”   ,quot99% taking streets Madison Madrid “No pay crisis”
573,joy,“@Parris_Larkin Studying for history exam all day. #wasteofagoodnapday #nooneneedshistorytobeatrophywife”,“  Studying history exam day #wasteofagoodnapday #nooneneedshistorytobeatrophywife”
574,joy,Find what makes you wake up in the morning and tie yourself to it because as long as it lives you live,Find makes wake morning tie long lives live
575,joy,Kanye West is kinda a lyrical genus. ,Kanye West kinda lyrical genus
576,joy,Athelstan gasped with excitement and went round to rouse the coroner . ,Athelstan gasped excitement went round rouse coroner 
583,joy,First the Packers win then The GODFATHER On AMC Both On Thanksgiving Day? I Knowd Dayz A Gawd!! ,Packers win GODFATHER AMC Thanksgiving Day Knowd Dayz Gawd
585,joy,"@MzBrendaL a Terrific Thanksgiving to you hon!   #love #peace and,,,,,#music! ;) Have a great one.",  Terrific Thanksgiving hon #love #peace and#music ) great one
586,joy,Now THAT was a good day. And I'm not even drunk. ,good day Im drunk
587,joy,"For my part , I feel elated and close to tears . ", feel elated close tears 
588,joy," Ok , let's go . ",Ok  lets 
591,joy,"Music is part of my life , i grew listing to all kinds of music , it has this amazing sound that gives &amp; Love &amp; even Sex :$ its Bea",Music life  grew listing kinds music  amazing sound gives amp Love amp Sex :$ Bea
592,joy,"waking up to a lovely maths paper awaiting you, ",waking lovely maths paper awaiting you
593,joy, I heard through the grapevine that your getting married . ,heard grapevine getting married 
595,joy,"Mungo felt elated , smiling back . ",Mungo felt elated  smiling 
602,joy,Best thing about this recent wedding here has been all the Koreans I know asking me when I'm gonna marry my girlfriend.  #sarcasm,Best thing recent wedding Koreans know asking Im gonna marry girlfriend #sarcasm
603,joy,And get ready for a day of in the #library ugh.,ready day #library ugh
609,joy, Look after yourself . Bye . ,Look  Bye 
612,joy,time for some maths homework ,time maths homework
615,joy,"hot chocolate, baby grow, watching elf ",hot chocolate baby grow watching elf
623,joy," And I was overwhelmed by this scene , too . ",overwhelmed scene  
626,joy,When I obtained good marks in a subject I had failed before.,obtained good marks subject failed before
627,joy,O.M.F.G. Just opened the fridge and discovered the Screme egg I put in there 2 hours ago. Had completely forgotten about it. Pure ,OMFG opened fridge discovered Screme egg 2 hours ago completely forgotten it Pure
630,joy,"Ah ta aqui em casa, vamo madruga hoje lol",Ah ta aqui em casa vamo madruga hoje lol
631,joy,"I was in a restaurant with my boyfriend when I saw my best female friend after not seeing her for two weeks.  We rejoyced, hugged and had a long talk.",restaurant boyfriend saw best female friend seeing weeks rejoyced hugged long talk
635,joy,the road to recovery starts with self [re]discovery.  ,road recovery starts self [re]discovery
636,joy,"@naoernaour Well done!! :D Bon bah maintenant, il ne te reste plus qu'à réviser pour les finals! ",  done :D Bon bah maintenant il ne te reste plus quà réviser pour les finals
638,joy,Night twitter family! Sleeping in again then math final. Which means no more math ever! Then it's anatomies turn to try and kill me. ,Night twitter family Sleeping math final means math ever anatomies turn try kill me
639,joy,Study grind for calculus starts tomorrow!! ,Study grind calculus starts tomorrow
647,joy, OK . Do you want us to bring something ? ,OK  want bring 
648,joy,Tomorrow is gonna suck ass ,Tomorrow gonna suck ass
650,joy,LIFERT @YOUNGLYFE: Its been a long time coming cuhz! #Joy,LIFERT   long time coming cuhz #Joy
652,joy,"The warden and his wife , being owners of a Siamese cat , were not overjoyed to see Emily but they reluctantly fed her a saucer of milk , saying that she could stay for one night . ",warden wife  owners Siamese cat  overjoyed Emily reluctantly fed saucer milk  saying stay night 
655,joy,Delicious dinner made by the expert hand of @DANMAX89 waiting for me at home! ,Delicious dinner expert hand   waiting home
660,joy,"but to put their hope in God, who richly provides us with everything for our enjoyment 1Timothy 6:17     ",hope God richly provides enjoyment 1Timothy 6:17
661,joy,Ew feel like I wanna puke. and I have practice in like 20 minutes. ,Ew feel like wanna puke practice like 20 minutes
663,joy,Anxiously;  Achingly  LOVINGLY  Tho firm in His precepts; A contrite &amp; humble heart will receive boundless ,Anxiously Achingly LOVINGLY Tho firm precepts contrite amp humble heart receive boundless
672,joy,WOOOOOOOO!!! Finished my Unit 3 portfolio!! Now to start Unit 4...  #SarcasticHashTag,WOOOOOOOO Finished Unit 3 portfolio start Unit 4 #SarcasticHashTag
675,joy,Okay I'm pretty tired now.. Going home soon. Probs won't sleep till like 430. Class at 9 -_____- hahaha,Okay Im pretty tired now Going home soon Probs sleep till like 430 Class 9  hahaha
680,joy,Jenny sat with a contented smile on her face during this interchange while mother repressed her irritation and anger with her husband 's remarks . ,Jenny sat contented smile face interchange mother repressed irritation anger husband s remarks 
681,joy,When I text like 3 pages worth of feelings &amp; you reply with a shitty ass &quot;sorry&quot; &gt;&gt;&gt; #Sike,text like 3 pages worth feelings amp reply shitty ass quotsorryquot gtgtgt #Sike
684,joy,@RandyCoppinger :) RE:   &gt; did I mention this fresh destination also provides a dedicated room for the studio!?! :-P,  :) RE: gt mention fresh destination provides dedicated room studio :P
685,joy,Time spent laughing is time spent with the gods - Japanese Proverb& ,Time spent laughing time spent gods  Japanese Proverb
686,joy,My baby's coming back home today (: ,babys coming home today (:
687,joy,Done with work for the night... but now it's homework time :/ ,work night homework time :/
689,joy, Really going to miss you . ,going miss 
694,joy,What??? Ain't no mo wine???? Jesus... Pass the water please. We thirsty. #SHIFT,What Aint mo wine Jesus Pass water please thirsty #SHIFT
695,joy,Finally my apartment's doing something right! They switched cable provider to  They opened up the golf channel too!! ,Finally apartments right switched cable provider opened golf channel too
703,joy,"Once Monday rolls around, my life after school will consist of either practice or the chiropractor ",Monday rolls around life school consist practice chiropractor
714,joy,"I ’ m so excited , mother . Oh , a new baby ! ",’ excited  mother  Oh  new baby 
717,joy,@Mehcadbrooks so you're having a great holiday wknd. ;-) Got to love the family and their moments. Happy Birthday Grams. #family,  great holiday wknd ) Got love family moments Happy Birthday Grams #family
718,joy,@titivate happy beloved birthday have a good orgy on ur wonderful day n many more #husband,  happy beloved birthday good orgy ur wonderful day n #husband
722,joy,@PeteDaPalagi whoa... I got more than I bargained for when I asked for cheese sauce. All good my white bruddah. Cookin lasagna ,  whoa got bargained asked cheese sauce good white bruddah Cookin lasagna
724,joy,"When I achieved my first 6 at University after a long string of 3's, 4's and 5's (7 is the highest mark awarded, 3 is a conceded pass).",achieved 6 University long string 3s 4s 5s (7 highest mark awarded 3 conceded pass)
726,joy,Blasting @ollyofficial Dance with me tonight. This song brings me :D,Blasting   Dance tonight song brings :D
731,joy,Most estate agents were overjoyed at the election result . ,estate agents overjoyed election result 
734,joy,"God, i am tired. An hour and 20 minutes left of work and then i have to go to school. Oh . . .",God tired hour 20 minutes left work school Oh   
738,joy,had a half day of school today and again tomorrow but not going instead having to go to the dr again! for my back...,half day school today tomorrow going instead dr again back
739,joy, See you . ,
744,joy,"OK,sometimes finding takes a lot of effort, other times comes easily. In this case I must use #mindfulness to find #peace ! #lifeisgood",OKsometimes finding takes lot effort times comes easily case use #mindfulness find #peace  #lifeisgood
750,joy,"oh fuck YES, brother moving out = new room 4 me ",oh fuck YES brother moving = new room 4
751,joy,Life is not always fun.  We need to grab the goofy while we can.  ,Life fun need grab goofy can
753,joy,God must really think I can handle a lot.   ,God think handle lot
754,joy,So I was in a great state of elation . ,great state elation 
755,joy,Seriously cannot get enough of Matthew and Atlas. Listening to &quot;To the North&quot; EP on repeat.   ,Seriously Matthew Atlas Listening quotTo Northquot EP repeat
757,joy,I love burning my hand on 600 degree ovens ,love burning hand 600 degree ovens
761,joy,Today is the day You have made I will rejoice + be glad in it. ,Today day rejoice + glad it
764,joy,Give your faith feet and God will give it wings!     ,faith feet God wings
771,joy,"Ah, getting into the mood for  next week. Great lineup, workshops and, most important, people ahead! #people #web #futures",Ah getting mood week Great lineup workshops and important people ahead #people #web #futures
772,joy,Fucking late for work ,Fucking late work
797,joy,one of my favourite past times is waiting in the rain for the number 11 bus #birmingham,favourite past times waiting rain number 11 bus #birmingham
799,joy,"Can honestly say, don't think I've ever done so shit in an exam before ",honestly say think Ive shit exam
800,joy,Things brought me 2day: 1.Finding out I dont have tonsillitis 2.Discovering I had lunch in office fridge 3.This chocolate pudding cup!,Things brought 2day: 1Finding dont tonsillitis 2Discovering lunch office fridge 3This chocolate pudding cup
801,joy,"@followthebaehr It's sunny but tonight/tomorrow, it's rainy. 1 more day of work, then I'm off for four days bc of Thanksgiving. ",  sunny tonight/tomorrow rainy 1 day work Im days bc Thanksgiving
808,joy,Time for family guy and sleep as tomorrow we shop for a camcorder ,Time family guy sleep tomorrow shop camcorder
810,joy,My mom is decorating the whole inside of the house today ,mom decorating inside house today
814,joy,Have removed the lovely looking but deeply hateful shoes from my feet. #backtotrainers,removed lovely looking deeply hateful shoes feet #backtotrainers
815,joy,Ever have those days where you just feel full of smiles!?! That's me today. ,days feel smiles Thats today
816,joy,"I had been working for more than an hour and my wrists ached from the continuous chopping , but I was filled with an immense exhilaration . ",working hour wrists ached continuous chopping  filled immense exhilaration 
820,joy,4 hour mobile software application security meeting awaits ..... ,4 hour mobile software application security meeting awaits 
826,joy,Saw in TV that China had the most gold medals in the Asian Olympic.,Saw TV China gold medals Asian Olympic
829,joy,Be the greatest dancer of your life! practice daily positive habits.  #fun #freedom #habits,greatest dancer life practice daily positive habits #fun #freedom #habits
831,joy,basketball is gonna make or break me this year ,basketball gonna break year
832,joy,field trip today ,field trip today
834,joy,Let's just skip finals and just get to CHRISTmas.  ,Lets skip finals CHRISTmas
837,joy,"I was elated , excited , in another world . ",elated  excited  world 
840,joy,"I was in hospital, and then was visited by someone quite unexpected.",hospital visited unexpected
844,joy,I can't fully express the JOY I feel when someone wholeheartedly returns my smile! &quot;A cheerful heart is good medicine&quot;- Proverbs 17:22a ,cant fully express JOY feel wholeheartedly returns smile quotA cheerful heart good medicinequot Proverbs 17:22a
845,joy,"Great, the washer isn't draining. Guess I've got a project for tomorrow.... ",Great washer draining Guess Ive got project tomorrow
849,joy,On my birthday I got a present that I had desired for a long time.,birthday got present desired long time
850,joy,6 hours of listening to someone speak about genetics ,6 hours listening speak genetics
853,joy,One hour of club tomorrow. &lt;3,hour club tomorrow lt3
854,joy,"  select with  inspect, in letters in-spec:  ... soundS to...some with &quot;annoy&quot;, at way... weigh... alloy.",select inspect letters inspec:  soundS tosome quotannoyquot way weigh alloy
856,joy, Ok . I'll call you back after I'm done . ,Ok  Ill Im 
857,joy,send  &amp;  to your   and  to your future and call forth to yourself for #today,send amp future forth #today
858,joy,NEW DELUX EDITION OF @austratalks FEEL IT BREAK!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ,NEW DELUX EDITION   FEEL BREAK
867,joy,Time to finish this 5+ page papper &amp;&amp; study for my 8am exam tomorrow ,Time finish 5+ page papper ampamp study 8am exam tomorrow
